Eye,Repetition,Colour,RGB,Start,End,Outcome
right,2,none,[0. 0. 0.],2022-08-11 16:57:57,2022-08-11 17:00:32,1
right,2,w,[0.1 0.1 0.1],2022-08-11 17:00:33,2022-08-11 17:00:54,1
right,2,w,[0.2 0.2 0.2],2022-08-11 17:00:54,2022-08-11 17:01:12,1
right,2,w,[0.3 0.3 0.3],2022-08-11 17:01:12,2022-08-11 17:01:23,1
right,2,w,[0.4 0.4 0.4],2022-08-11 17:01:24,2022-08-11 17:01:37,1
right,2,w,[0.5 0.5 0.5],2022-08-11 17:01:37,2022-08-11 17:01:51,1
right,2,w,[0.6 0.6 0.6],2022-08-11 17:01:52,2022-08-11 17:02:05,1
right,2,w,[0.7 0.7 0.7],2022-08-11 17:02:06,2022-08-11 17:02:19,1
right,2,w,[0.8 0.8 0.8],2022-08-11 17:02:20,2022-08-11 17:02:35,1
right,2,w,[0.9 0.9 0.9],2022-08-11 17:02:36,2022-08-11 17:02:48,1
right,2,w,[1. 1. 1.],2022-08-11 17:02:48,2022-08-11 17:03:01,1
