Frequency_hz,SamplingRate_hz,Duration_s,TotalSamples,ChannelA_yAmp,ChannelB_yAmp,ChA_05f_amp,ChA_2f_amp,ChA_3f_amp,ChA_4f_amp,ChB_05f_amp,ChB_2f_amp,ChB_3f_amp,ChB_4f_amp
0.01,25000,199.98244,4999561,1907527139,1804696255,269073.0363,66893568,32473185.81,7936773.408,1037211.557,60049664.43,28444036.3,7705949.319
0.02,25000,199.9824,4999560,1909512478,1807518729,711826.6945,68205727.26,31789977.33,8079814.862,1317552.635,61284994.38,27609405.13,8106827.927
0.05,25000,199.98532,4999633,1914451871,1810036988,4278151.565,67156912.32,35161670.82,12043845.87,3996248.392,60343648.73,31047260.55,11775651.01
0.1,25000,199.98528,4999632,1913789238,1809200180,20464389.49,50281003.34,37921287.63,18538708.38,18718771.57,44910345.77,34076228.89,18173812.14
0.22,25000,199.9824,4999560,1887991101,1784893615,30011859.41,78304246.56,33293284.91,6283057.087,28415272.23,71414335.01,29519340.02,6460181.601
0.5,25000,199.98528,4999632,1894982266,1790828035,31027640.55,66757274.64,32255769.49,8002118.718,29423511.56,60448254.23,28614575.74,8267447.08
1,25000,199.98384,4999596,1895032450,1791407004,507745.4382,67034263.47,32070889.94,7766835.075,509799.0489,60719313.05,28477568.57,8104759.876
2.24,25000,199.98528,4999632,1891785777,1788687056,3746512.471,67648775.65,31537210.42,7270056.446,3725640.243,60818106.76,27942878.67,7620473.455
5,25000,199.98244,4999561,1810909986,1712446685,4067535.078,53326054.34,21067893.95,3982999.55,3842745.758,47811707.54,18641775.66,4247014.562
10,25000,199.9824,4999560,1718999994,1626582515,1025045.848,39832204.47,11681572.13,3558189.413,844299.9331,35820894.27,10380592,4374471.225
20,25000,199.98384,4999596,902225057.8,856712150.5,10582139.59,25052566.05,11677811.83,2615111.272,9825347.4,23056560.31,11422594.09,3061024.074
